#,STATE,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,"LAST NAME, FIRST",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,Notes (See Endnotes Tab)
72,Alaska,AK,S,,,,,,Party Votes:,LBT,775,,,,,,,,
73,Alaska,AK,S,S4AK00115,,"Ted Big""""""ed """"""""",Gianoutsos,"Gianoutsos, Ted Big""""""iano""",,N,,,,,732,0.24%,,,
74,Alaska,AK,S,,,,Scattered,Scattered,,W,,,,,423,0.14%,,,
75,Alaska,AK,S,,,,,,Senate Votes:,,"127,731",,,,"308,315",,,,
76,Alaska,AK,,,,,,,Total State Votes:,,"239,123",,,,"608,311",,,,
77,American Samoa,AS,0,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,D,n/a,,,,"6,656",54.88%,,,
78,American Samoa,AS,0,H4AS00036,,Amata Aumua,Coleman,"Coleman, Amata Aumua",,R,n/a,,,,"5,472",45.12%,,,
79,American Samoa,AS,0,,,,,,District Votes:,,n/a,,,,"12,128",,,,
80,American Samoa,AS,H,,,,,,House Votes:,,n/a,,,,"12,128",,,,
81,American Samoa,AS,H,,,,,,Total Votes:,,n/a,,,,"12,128",,,,1
82,Arizona,AZ,1,H2AZ01172,(I),Rick,Renzi,"Renzi, Rick",,R,"36,723",100.00%,,,"148,315",58.54%,,,
83,Arizona,AZ,1,,,,,,Party Votes:,R,"36,723",,,,,,,,
84,Arizona,AZ,1,H4AZ01111,,Paul,Babbitt,"Babbitt, Paul",,D,"35,422",73.72%,,,"91,776",36.22%,,,
85,Arizona,AZ,1,H4AZ01129,,Bob,Donahue,"Donahue, Bob",,D,"12,629",26.28%,,,,,,,
86,Arizona,AZ,1,,,,,,Party Votes:,D,"48,051",,,,,,,,
87,Arizona,AZ,1,H4AZ01137,,John,Crockett,"Crockett, John",,LBT,505,100.00%,,,"13,260",5.23%,,,
88,Arizona,AZ,1,,,,,,Party Votes:,LBT,505,,,,,,,,
89,Arizona,AZ,1,,,,,,District Votes:,,"85,279",,,,"253,351",,,,
90,Arizona,AZ,2,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,R,"45,261",63.63%,,,"165,260",59.17%,,,
91,Arizona,AZ,2,H4AZ02093,,Rick L.,Murphy,"Murphy, Rick L.",,R,"25,871",36.37%,,,,,,,
92,Arizona,AZ,2,,,,,,Party Votes:,R,"71,132",,,,,,,,
93,Arizona,AZ,2,H2AZ02220,,Randy,Camacho,"Camacho, Randy",,D,"12,833",52.68%,,,"107,406",38.46%,,,
94,Arizona,AZ,2,H0AZ03248,,Gene,Scharer,"Scharer, Gene",,D,"5,875",24.12%,,,,,,,
95,Arizona,AZ,2,H4AZ02101,,Larry,Coor,"Coor, Larry",,D,"5,652",23.20%,,,,,,,
96,Arizona,AZ,2,,,,,,Party Votes:,D,"24,360",,,,,,,,
97,Arizona,AZ,2,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,LBT,365,100.00%,,,"6,625",2.37%,,,
98,Arizona,AZ,2,,,,,,Party Votes:,LBT,365,,,,,,,,
99,Arizona,AZ,2,H2AZ02246,,William,Crum,"Crum, William",,W,,,,,12,0.00%,,,
100,Arizona,AZ,2,,,,,,District Votes:,,"95,857",,,,"279,303",,,,
101,Arizona,AZ,3,H4AZ04016,(I),John,Shadegg,"Shadegg, John",,R,"43,552",100.00%,,,"181,012",80.10%,,,
102,Arizona,AZ,3,,,,,,Party Votes:,R,"43,552",,,,,,,,
103,Arizona,AZ,3,H4AZ04073,,Mark,Yannone,"Yannone, Mark",,LBT,337,100.00%,,,"44,962",19.90%,,,
104,Arizona,AZ,3,,,,,,Party Votes:,LBT,337,,,,,,,,
105,Arizona,AZ,3,,,,,,District Votes:,,"43,889",,,,"225,974",,,,
106,Arizona,AZ,4,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,D,"15,201",100.00%,,,"77,150",70.12%,,,
107,Arizona,AZ,4,,,,,,Party Votes:,D,"15,201",,,,,,,,
108,Arizona,AZ,4,H2AZ04101,,Don,Karg,"Karg, Don",,R,"8,854",100.00%,,,"28,238",25.66%,,,
109,Arizona,AZ,4,,,,,,Party Votes:,R,"8,854",,,,,,,,
110,Arizona,AZ,4,H4AZ04081,,Gary,Fallon,"Fallon, Gary",,LBT,235,100.00%,,,"4,639",4.22%,,,
111,Arizona,AZ,4,,,,,,Party Votes:,LBT,235,,,,,,,,
112,Arizona,AZ,4,,,,,,District Votes:,,"24,290",,,,"110,027",,,,
113,Arizona,AZ,5,H4AZ06052,(I),J. D.,Hayworth,"Hayworth, J. D.",,R,"43,166",79.26%,,,"159,455",59.50%,,,
114,Arizona,AZ,5,H4AZ05054,,Roselyn,O'Connell,"O'Connell, Roselyn",,R,"11,296",20.74%,,,,,,,
115,Arizona,AZ,5,,,,,,Party Votes:,R,"54,462",,,,,,,,
116,Arizona,AZ,5,H4AZ05047,,Elizabeth,Rogers,"Rogers, Elizabeth",,D,"11,362",69.51%,,,"102,363",38.19%,,,
117,Arizona,AZ,5,H2AZ05116,,Ronald,Maynard,"Maynard, Ronald",,D,"4,985",30.49%,,,,,,,
118,Arizona,AZ,5,,,,,,Party Votes:,D,"16,347",,,,,,,,
119,Arizona,AZ,5,H4AZ05062 ,,Michael,Kielsky,"Kielsky, Michael",,LBT,330,100.00%,,,"6,189",2.31%,,,
120,Arizona,AZ,5,,,,,,Party Votes:,LBT,330,,,,,,,,
121,Arizona,AZ,5,,,,,,District Votes:,,"71,139",,,,"268,007",,,,
122,Arizona,AZ,6,H0AZ01184,(I),Jeff,Flake,"Flake, Jeff",,R,"33,784",59.30%,,,"202,882",79.38%,,,
123,Arizona,AZ,6,H4AZ06086,,Stan,Barnes,"Barnes, Stan",,R,"23,186",40.70%,,,,,,,
124,Arizona,AZ,6,,,,,,Party Votes:,R,"56,970",,,,,,,,
125,Arizona,AZ,6,H4AZ06094,,Craig,Stritar,"Stritar, Craig",,LBT,272,100.00%,,,"52,695",20.62%,,,
126,Arizona,AZ,6,,,,,,Party Votes:,LBT,272,,,,,,,,
127,Arizona,AZ,6,,,,,,District Votes:,,"57,242",,,,"255,577",,,,
128,Arizona,AZ,7,H2AZ07070,(I),Raí_l,Grijalva,"Grijalva, Raí_l",,D,"26,450",100.00%,,,"108,868",62.06%,,,
129,Arizona,AZ,7,,,,,,Party Votes:,D,"26,450",,,,,,,,
130,Arizona,AZ,7,H4AZ02010,,Joseph,Sweeney,"Sweeney, Joseph",,R,"11,990",70.13%,,,"59,066",33.67%,,,
131,Arizona,AZ,7,H4AZ07019,,Lou,Muí±oz,"Muí±oz, Lou",,R,"5,107",29.87%,,,,,,,
132,Arizona,AZ,7,,,,,,Party Votes:,R,"17,097",,,,,,,,
133,Arizona,AZ,7,H4AZ07027,,Dave,Kaplan,"Kaplan, Dave",,LBT,294,100.00%,,,"7,503",4.28%,,,
134,Arizona,AZ,7,,,,,,Party Votes:,LBT,294,,,,,,,,
135,Arizona,AZ,7,,,,,,District Votes:,,"43,841",,,,"175,437",,,,
136,Arizona,AZ,8,H2AZ02014,(I),Jim,Kolbe,"Kolbe, Jim",,R,"36,039",57.46%,,,"183,363",60.36%,,,
137,Arizona,AZ,8,H4AZ08017,,Randy,Graf,"Graf, Randy",,R,"26,686",42.54%,,,,,,,
138,Arizona,AZ,8,,,,,,Party Votes:,R,"62,725",,,,,,,,
139,Arizona,AZ,8,H4AZ08058,,Eva,Bacal,"Bacal, Eva",,D,"20,216",58.62%,,,"109,963",36.20%,,,
140,Arizona,AZ,8,H4AZ08033,,Tim,Sultan,"Sultan, Tim",,D,"9,177",26.61%,,,,,,,
141,Arizona,AZ,8,H4AZ08041,,"Jeffrey Jeff""""""effre""",Chimene,"Chimene, Jeffrey Jeff""""""himen""",,D,"5,093",14.77%,,,,,,,
142,Arizona,AZ,8,,,,,,Party Votes:,D,"34,486",,,,,,,,
143,Arizona,AZ,8,H6AZ06024,,Robert,Anderson,"Anderson, Robert",,LBT,385,100.00%,,,"10,443",3.44%,,,
144,Arizona,AZ,8,,,,,,Party Votes:,LBT,385,,,,,,,,
145,Arizona,AZ,8,,,,,,District Votes:,,"97,596",,,,"303,769",,,,
146,Arizona,AZ,H,,,,,,House Votes:,,"519,133",,,,"1,871,445",,,,
147,Arizona,AZ,S,S6AZ00019,(I),John,McCain,"McCain, John",,R,"331,720",100.00%,,,"1,505,372",76.74%,,,
148,Arizona,AZ,S,,,,,,Party Votes:,R,"331,720",,,,,,,,
149,Arizona,AZ,S,S0AZ00152,,Stuart ,Starky,"Starky, Stuart ",,D,"173,540",100.00%,,,"404,507",20.62%,,,
150,Arizona,AZ,S,,,,,,Party Votes:,D,"173,540",,,,,,,,
151,Arizona,AZ,S,S4AZ00121,,Ernest,Hancock,"Hancock, Ernest",,LBT,"2,756",100.00%,,,"51,798",2.64%,,,
152,Arizona,AZ,S,,,,,,Party Votes:,LBT,"2,756",,,,,,,,
153,Arizona,AZ,S,,,,,,Senate Votes:,,"508,016",,,,"1,961,677",,,,
154,Arizona,AZ,,,,,,,Total State Votes:,,"1,027,149",,,,"3,833,122",,,,
155,Arkansas,AR,1,H6AR01072,(I),Marion,Berry,"Berry, Marion",,D,Unopposed,,,,"162,388",66.57%,,,
156,Arkansas,AR,1,H4AR01044,,Vernon,Humphrey,"Humphrey, Vernon",,R,Unopposed,,,,"81,556",33.43%,,,
157,Arkansas,AR,1,,,,,,District Votes:,,,,,,"243,944",,,,
158,Arkansas,AR,2,H6AR02203,(I),Vic,Synder,"Synder, Vic",,D,Unopposed,,,,"160,834",58.17%,,,
159,Arkansas,AR,2,H4AR02117,,Marvin,Parks,"Parks, Marvin",,R,"11,590",69.21%,,,"115,655",41.83%,,,
160,Arkansas,AR,2,H2AR02046,,Ed,Garner,"Garner, Ed",,R,"5,156",30.79%,,,,,,,
161,Arkansas,AR,2,,,,,,Party Votes:,R,"16,746",,,,,,,,
162,Arkansas,AR,2,H4AR02125,,William,Gabriel,"Gabriel, William",,W,,,,,4,0.00%,,,
163,Arkansas,AR,2,,,,,,District Votes:,,"16,746",,,,"276,493",,,,
164,Arkansas,AR,3,H2AR03176,(I),John,Boozman,"Boozman, John",,R,Unopposed,,,,"160,629",59.32%,,,
165,Arkansas,AR,3,H4AR03024,,Jan,Judy,"Judy, Jan",,D,Unopposed,,,,"103,158",38.09%,,,
166,Arkansas,AR,3,H4AR03032,,Dale,Morfey,"Morfey, Dale",,I,,,,,"7,016",2.59%,,,
167,Arkansas,AR,3,,,,,,District Votes:,,,,,,"270,803",,,,
168,Arkansas,AR,4,H0AR04038,(I),Mike,Ross,"Ross, Mike",,D,Unopposed,,,,Unopposed,,,,
169,Arkansas,AR,4,,,,,,District Votes:,,,,,,,,,,
170,Arkansas,AR,H,,,,,,House Votes:,,"16,746",,,,"791,240",,,,
171,Arkansas,AR,S,S8AR00112,(I),Blanche L.,Lincoln,"Lincoln, Blanche L.",,D,"231,037",83.09%,,,"580,973",55.90%,,,
172,Arkansas,AR,S,S4AR00061,,Lisa,Burks,"Burks, Lisa",,D,"47,010",16.91%,,,,,,,
173,Arkansas,AR,S,,,,,,Party Votes:,D,"278,047",,,,,,,,
174,Arkansas,AR,S,S4AR00046,,Jim,Holt,"Holt, Jim",,R,"37,254",68.94%,,,"458,036",44.07%,,,
175,Arkansas,AR,S,S4AR00053,,Andy,Lee,"Lee, Andy",,R,"10,709",19.82%,,,,,,,
176,Arkansas,AR,S,S4AR00079,,Rosemarie,Clampitt,"Clampitt, Rosemarie",,R,"6,078",11.25%,,,,,,,
177,Arkansas,AR,S,,,,,,Party Votes:,R,"54,041",,,,,,,,
178,Arkansas,AR,S,S4AR00095,,Glenn,Schwarz,"Schwarz, Glenn",,W,,,,,212,0.02%,,,
179,Arkansas,AR,S,S4AR00087,,Gene,Mason,"Mason, Gene",,W,,,,,128,0.01%,,,
180,Arkansas,AR,S,,,,,,Senate Votes:,,"332,088",,,,"1,039,349",,,,
181,Arkansas,AR,,,,,,,Total State Votes:,,"348,834",,,,"1,830,589",,,,
182,California,CA,1,H8CA01109,(I),Mike,Thompson,"Thompson, Mike",,D,"92,371",100.00%,,,"189,366",66.92%,,,
183,California,CA,1,,,,,,Party Votes:,D,"92,371",,,,,,,,
184,California,CA,1,H0CA01106,,Lawrence R.,Wiesner,"Wiesner, Lawrence R.",,R,"48,710",100.00%,,,"79,970",28.26%,,,
185,California,CA,1,,,,,,Party Votes:,R,"48,710",,,,,,,,
186,California,CA,1,H0CA01130,,Pamela,Elizondo,"Elizondo, Pamela",,GRN,"2,365",54.61%,,,"13,635",4.82%,,,
187,California,CA,1,H4CA01058,,Bill,Meyers,"Meyers, Bill",,GRN,"1,966",45.39%,,,,,,,
188,California,CA,1,,,,,,Party Votes:,GRN,"4,331",,,,,,,,
189,California,CA,1,,,,,,District Votes:,,"145,412",,,,"282,971",,,,
190,California,CA,2,H6CA02010,(I),Wally,Herger,"Herger, Wally",,R,"79,923",100.00%,,,"182,119",66.85%,,,
191,California,CA,2,,,,,,Party Votes:,R,"79,923",,,,,,,,
192,California,CA,2,H2CA02068,,Mike,Johnson,"Johnson, Mike",,D,"20,760",44.26%,,,"90,310",33.15%,,,
193,California,CA,2,H4CA02072,,A.J.,Sekhon,"Sekhon, A.J.",,D,"14,246",30.37%,,,,,,,
194,California,CA,2,H4CA02080,,Jeffrey ,Vance,"Vance, Jeffrey ",,D,"11,897",25.37%,,,,,,,
195,California,CA,2,,,,,,Party Votes:,D,"46,903",,,,,,,,
196,California,CA,2,,,,,,District Votes:,,"126,826",,,,"272,429",,,,
197,California,CA,3,H6CA34112,,Dan,Lungren,"Lungren, Dan",,R,"35,595",38.91%,,,"177,738",61.91%,,,
198,California,CA,3,H4CA03070,,Rico,Oller,"Oller, Rico",,R,"32,728",35.77%,,,,,,,
199,California,CA,3,H4CA03088,,Mary,Ose,"Ose, Mary",,R,"21,469",23.47%,,,,,,,
200,California,CA,3,H2CA05061,,Richard,Frankhuizen,"Frankhuizen, Richard",,R,"1,693",1.85%,,,,,,,
201,California,CA,3,,,,,,Party Votes:,R,"91,485",,,,,,,,
202,California,CA,3,H4CA03062,,Gabe,Castillo,"Castillo, Gabe",,D,"51,155",100.00%,,,"100,025",34.84%,,,
203,California,CA,3,,,,,,Party Votes:,D,"51,155",,,,,,,,
204,California,CA,3,H8CA05134,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LBT,634,100.00%,,,"9,310",3.24%,,,
205,California,CA,3,,,,,,Party Votes:,LBT,634,,,,,,,,
206,California,CA,3,,,,,,District Votes:,,"143,274",,,,"287,073",,,,
207,California,CA,4,H0CA14042,(I),John T.,Doolittle,"Doolittle, John T.",,R,"105,015",100.00%,,,"221,926",65.39%,,,
208,California,CA,4,,,,,,Party Votes:,R,"105,015",,,,,,,,
209,California,CA,4,H4CA04078,,David I.,Winters,"Winters, David I.",,D,"58,036",100.00%,,,"117,443",34.61%,,,
210,California,CA,4,,,,,,Party Votes:,D,"58,036",,,,,,,,
211,California,CA,4,,,,,,District Votes:,,"163,051",,,,"339,369",,,,
212,California,CA,5,H8CA03014,(I),Robert T.,Matsui,"Matsui, Robert T.",,D,"63,291",99.98%,,,"138,004",71.36%,,,
213,California,CA,5,H4CA05232,,Pat,Driscoll,"Driscoll, Pat",,W(D),11,0.02%,,,,,,,
214,California,CA,5,,,,,,Party Votes:,D,"63,302",,,,,,,,
215,California,CA,5,H4CA05224,,Mike ,Dugas ,"Dugas, Mike ",,R,"26,674",100.00%,,,"45,120",23.33%,,,
216,California,CA,5,,,,,,Party Votes:,R,"26,674",,,,,,,,
217,California,CA,5,H4CA05232,,Pat,Driscoll,"Driscoll, Pat",,GRN,"1,041",100.00%,,,"6,593",3.41%,,,
218,California,CA,5,,,,,,Party Votes:,GRN,"1,041",,,,,,,,
219,California,CA,5,H4CA05240,,John C.,Reiger,"Reiger, John C.",,PFP,215,100.00%,,,"3,670",1.90%,,,
220,California,CA,5,,,,,,Party Votes:,PFP,215,,,,,,,,
221,California,CA,5,,,,,,District Votes:,,"91,232",,,,"193,387",,,,
222,California,CA,6,H2CA01045,(I),Lynn,Woolsey,"Woolsey, Lynn",,D,"99,970",84.00%,,,"226,423",72.65%,,,
223,California,CA,6,H4CA06107,,Renn,Vara,"Vara, Renn",,D,"19,039",16.00%,,,,,,,
224,California,CA,6,,,,,,Party Votes:,D,"119,009",,,,,,,,
225,California,CA,6,H2CA06234,,Paul L.,Erickson,"Erickson, Paul L.",,R,"43,248",100.00%,,,"85,244",27.35%,,,
226,California,CA,6,,,,,,Party Votes:,R,"43,248",,,,,,,,
227,California,CA,6,,,,,,District Votes:,,"162,257",,,,"311,667",,,,
228,California,CA,7,H6CA07043,(I),George,Miller,"Miller, George",,D,"71,268",100.00%,,,"166,831",76.08%,,,
229,California,CA,7,,,,,,Party Votes:,D,"71,268",,,,,,,,
230,California,CA,7,H2CA07091,,Charles,Hargrave,"Hargrave, Charles",,R,"23,900",100.00%,,,"52,446",23.92%,,,
231,California,CA,7,,,,,,Party Votes:,R,"23,900",,,,,,,,
232,California,CA,7,,,,,,District Votes:,,"95,168",,,,"219,277",,,,
233,California,CA,8,H8CA05035,(I),Nancy,Pelosi,"Pelosi, Nancy",,D,"94,564",100.00%,,,"224,017",82.95%,,,
234,California,CA,8,,,,,,Party Votes:,D,"94,564",,,,,,,,
235,California,CA,8,H4CA08079,,Jennifer,DePalma,"DePalma, Jennifer",,R,"8,814",100.00%,,,"31,074",11.51%,,,
236,California,CA,8,,,,,,Party Votes:,R,"8,814",,,,,,,,
237,California,CA,8,H4CA08087,,Leilani,Dowell,"Dowell, Leilani",,PFP,266,100.00%,,,"9,527",3.53%,,,
238,California,CA,8,,,,,,Party Votes:,PFP,266,,,,,,,,
239,California,CA,8,,,Terry,Baum,"Baum, Terry",,W(GRN),"1,414",100.00%,,,"5,446",2.02%,,,
240,California,CA,8,,,,,,Party Votes:,GRN,"1,414",,,,,,,,
241,California,CA,8,,,,,,District Votes:,,"105,058",,,,"270,064",,,,
242,California,CA,9,H8CA09060,(I),Barbara,Lee,"Lee, Barbara",,D,"105,211",100.00%,,,"215,630",84.55%,,,
243,California,CA,9,,,,,,Party Votes:,D,"105,211",,,,,,,,
244,California,CA,9,H4CA09051,,Claudia,Bermudez,"Bermudez, Claudia",,R,"11,813",100.00%,,,"31,278",12.26%,,,
245,California,CA,9,,,,,,Party Votes:,R,"11,813",,,,,,,,
246,California,CA,9,H2CA09097,,Jim,Eyer,"Eyer, Jim",,LBT,410,100.00%,,,"8,131",3.19%,,,
247,California,CA,9,,,,,,Party Votes:,LBT,410,,,,,,,,
248,California,CA,9,,,,,,District Votes:,,"117,434",,,,"255,039",,,,
249,California,CA,10,H6CA10088,(I),Ellen O.,Tauscher,"Tauscher, Ellen O.",,D,"75,997",100.00%,,,"182,750",65.71%,,,
250,California,CA,10,,,,,,Party Votes:,D,"75,997",,,,,,,,
251,California,CA,10,H4CA10067,,Jeff,Ketelson,"Ketelson, Jeff",,R,"45,615",100.00%,,,"95,349",34.29%,,,
252,California,CA,10,,,,,,Party Votes:,R,"45,615",,,,,,,,
253,California,CA,10,,,,,,District Votes:,,"121,612",,,,"278,099",,,,
254,California,CA,11,H2CA11051,(I),Richard ,Pombo,"Pombo, Richard ",,R,"65,046",100.00%,,,"163,582",61.23%,,,
255,California,CA,11,,,,,,Party Votes:,R,"65,046",,,,,,,,
