1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,,,,,,,,,,,,,,,,,
89,Alaska,AK,S,,,,Murkowski,Murkowski,,W (Challenged NOT Counted),,,,,"2,035",0.79%,,,,,,,,,,,,,,,,,,,,
90,Alaska,AK,S,S8AK00165,,"Fredrick David""""""redric""",Haase,"Haase, Fredrick David""""""aase"," """,,LIB,"5,793",100.00%,,,"1,459",0.57%,,,,,,,,,,,,,,,,,,,
91,Alaska,AK,S,n/a,,,,,Party Votes:,LIB,"5,793",,,,,,,,,,,,,,,,,,,,,,,,,
92,Alaska,AK,S,S0AK00154,,Tim,Carter,"Carter, Tim",,NAF,,,,,927,0.36%,,,,,,,,,,,,,,,,,,,,
93,Alaska,AK,S,n/a,,,Other - Misc. Names,Other - Misc. Names,,W,,,,,602,0.23%,,,,,,,,,,,,,,,,,,,,
94,Alaska,AK,S,S4AK00115,,Ted,Gianoutsos,"Gianoutsos, Ted",,NAF,,,,,458,0.18%,,,,,,,,,,,,,,,,,,,,
95,Alaska,AK,S,S0AK00121,,Joe,Miller,"Miller, Joe",,W,,,,,21,0.01%,,,,,,,,,,,,,,,,,,,,
96,Alaska,AK,S,S0AK00162,,Sid,Hill,"Hill, Sid",,W,,,,,13,0.01%,,,,,,,,,,,,,,,,,,,,
97,Alaska,AK,S,n/a,,,McAdams,McAdams,,W,,,,,8,0.00%,,,,,,,,,,,,,,,,,,,,
98,Alaska,AK,S,n/a,,Edward D.,Marin Jr.,"Marin Jr., Edward D.",,W,,,,,6,0.00%,,,,,,,,,,,,,,,,,,,,
99,Alaska,AK,S,n/a,,Red K.,Bradley,"Bradley, Red K.",,W,,,,,3,0.00%,,,,,,,,,,,,,,,,,,,,
100,Alaska,AK,S,n/a,,Guy A.,Cummins,"Cummins, Guy A.",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,,
101,Alaska,AK,S,n/a,,Lisa M.,Lackey,"Lackey, Lisa M.",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,,
102,Alaska,AK,S,n/a,,Richard,McGahan,"McGahan, Richard",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,,
103,Alaska,AK,S,n/a,,Marvin Roger,Moser,"Moser, Marvin Roger",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,,
104,Alaska,AK,S,n/a,,Karen,Perry,"Perry, Karen",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,,
105,Alaska,AK,S,n/a,,Eileen M.,Ransom,"Ransom, Eileen M.",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,,
106,Alaska,AK,S,n/a,,Jed,Whittaker,"Whittaker, Jed",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,,
107,Alaska,AK,S,n/a,,Michael,Ames,"Ames, Michael",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
108,Alaska,AK,S,n/a,,Kevin,Austin,"Austin, Kevin",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
109,Alaska,AK,S,n/a,,David E.,Beeman,"Beeman, David E.",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
110,Alaska,AK,S,n/a,,Vicky L.,Beeman,"Beeman, Vicky L.",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
111,Alaska,AK,S,n/a,,David,Boyle,"Boyle, David",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
112,Alaska,AK,S,n/a,,Michael,Butler,"Butler, Michael",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
113,Alaska,AK,S,n/a,,Margaret A.,Crowell,"Crowell, Margaret A.",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
114,Alaska,AK,S,n/a,,Chris S.,Dillingham,"Dillingham, Chris S.",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
115,Alaska,AK,S,n/a,,David S.,George,"George, David S.",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
116,Alaska,AK,S,n/a,,Alan D.,Humphries,"Humphries, Alan D.",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
117,Alaska,AK,S,n/a,,Petter M.,Johnson,"Johnson, Petter M.",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
118,Alaska,AK,S,n/a,,Eric C.,Kelly,"Kelly, Eric C.",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
119,Alaska,AK,S,n/a,,Bill,Klemme,"Klemme, Bill",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
120,Alaska,AK,S,n/a,,Marjori,Landis-Beck,"Landis-Beck, Marjori",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
121,Alaska,AK,S,n/a,,Anthony,Rice,"Rice, Anthony",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
122,Alaska,AK,S,n/a,,Thompson,Steve,"Steve, Thompson",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
123,Alaska,AK,S,n/a,,Georgia Lee,Tolbert,"Tolbert, Georgia Lee",,W,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,
124,Alaska,AK,S,n/a,,,,,Total State Votes:,,"145,830",,,,"257,538",,,,,,,,,,,,,,,,,,,,,
125,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,American Samoa,AS,0,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,DEM,,,,,"6,182",56.41%,,,,,,,,,,,,,,,,,,,,
127,American Samoa,AS,0,H4AS00036,,Aumua,Amata,"Amata, Aumua",,REP,,,,,"4,422",40.35%,,,,,,,,,,,,,,,,,,,,
128,American Samoa,AS,0,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",,NNE,,,,,356,3.25%,,,,,,,,,,,,,,,,,,,,
129,American Samoa,AS,H,n/a,,,,,District Votes:,,,,,,"10,960",,,,,,,,,,,,,,,,,,,,,
130,American Samoa,AS,H,n/a,,,,,Total Votes:,,,,,,"10,960",,,,,,,,,,,,,,,,,,,,,
131,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Arizona,AZ,1,H0AZ01259,,Paul,Gosar,"Gosar, Paul",,REP,"21,941",30.73%,,,"112,816",49.72%,,,,,,,,,,,,,,,,,,,,
133,Arizona,AZ,1,H2AZ01149,,Sydney,Hay,"Hay, Sydney",,REP,"16,328",22.87%,,,,,,,,,,,,,,,,,,,,,,,,
134,Arizona,AZ,1,H0AZ01267,,Bradley,Beauchamp,"Beauchamp, Bradley",,REP,"11,356",15.91%,,,,,,,,,,,,,,,,,,,,,,,,
135,Arizona,AZ,1,H0AZ01275,,"Russell Rusty""""""ussell""",Bowers,"Bowers, Russell Rusty""""""owers",",,REP,10","552""",14.78%,,,,,,,,,,,,,,,,,,,,,,,,,
136,Arizona,AZ,1,H0AZ01283,,Steve,Mehta,"Mehta, Steve",,REP,"5,846",8.19%,,,,,,,,,,,,,,,,,,,,,,,,
137,Arizona,AZ,1,H0AZ01309,,Thomas J.,Zaleski,"Zaleski, Thomas J.",,REP,"2,105",2.95%,,,,,,,,,,,,,,,,,,,,,,,,
138,Arizona,AZ,1,H0AZ01317,,Jon,Jensen,"Jensen, Jon",,REP,"1,736",2.43%,,,,,,,,,,,,,,,,,,,,,,,,
139,Arizona,AZ,1,H0AZ01291,,Joe,Jaraczewski,"Jaraczewski, Joe",,REP,"1,530",2.14%,,,,,,,,,,,,,,,,,,,,,,,,
140,Arizona,AZ,1,n/a,,,,,Party Votes:,REP,"71,394",,,,,,,,,,,,,,,,,,,,,,,,,
141,Arizona,AZ,1,H8AZ01104,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,DEM,"46,902",100.00%,,,"99,233",43.73%,,,,,,,,,,,,,,,,,,,,
142,Arizona,AZ,1,n/a,,,,,Party Votes:,DEM,"46,902",,,,,,,,,,,,,,,,,,,,,,,,,
143,Arizona,AZ,1,H0AZ01341,,Nicole,Patti,"Patti, Nicole",,W(LIB)/LIB,23,100.00%,,,"14,869",6.55%,,,,,,,,,,,,,,,,,,,,
144,Arizona,AZ,1,n/a,,,,,Party Votes:,LIB,23,,,,,,,,,,,,,,,,,,,,,,,,,
145,Arizona,AZ,1,n/a,,,,,District Votes:,,"118,319",,,,"226,918",,,,,,,,,,,,,,,,,,,,,
146,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Arizona,AZ,2,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,REP,"81,252",80.87%,,,"173,173",64.88%,,,,,,,,,,,,,,,,,,,,
148,Arizona,AZ,2,H0AZ02141,,Charles,Black,"Black, Charles",,REP,"19,220",19.13%,,,,,,,,,,,,,,,,,,,,,,,,
149,Arizona,AZ,2,n/a,,,,,Party Votes:,REP,"100,472",,,,,,,,,,,,,,,,,,,,,,,,,
150,Arizona,AZ,2,H6AZ02155,,John,Thrasher,"Thrasher, John",,DEM,"32,503",100.00%,,,"82,891",31.06%,,,,,,,,,,,,,,,,,,,,
151,Arizona,AZ,2,n/a,,,,,Party Votes:,DEM,"32,503",,,,,,,,,,,,,,,,,,,,,,,,,
152,Arizona,AZ,2,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,LIB,318,100.00%,,,"10,820",4.05%,,,,,,,,,,,,,,,,,,,,
153,Arizona,AZ,2,n/a,,,,,Party Votes:,LIB,318,,,,,,,,,,,,,,,,,,,,,,,,,
154,Arizona,AZ,2,H6AZ00027,,Crum ,William,"William, Crum ",,W,,,,,8,0.00%,,,,,,,,,,,,,,,,,,,,
155,Arizona,AZ,2,n/a,,Mark,Rankin,"Rankin, Mark",,W,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,,
156,Arizona,AZ,2,n/a,,,,,District Votes:,,"133,293",,,,"266,894",,,,,,,,,,,,,,,,,,,,,
157,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Arizona,AZ,3,H0AZ03362,,Ben,Quayle,"Quayle, Ben",,REP,"17,400",22.05%,,,"108,689",52.24%,,,,,,,,,,,,,,,,,,,,
159,Arizona,AZ,3,H0AZ03396,,Steve,Moak,"Moak, Steve",,REP,"14,211",18.01%,,,,,,,,,,,,,,,,,,,,,,,,
160,Arizona,AZ,3,H0AZ03313,,Jim,Waring,"Waring, Jim",,REP,"13,850",17.55%,,,,,,,,,,,,,,,,,,,,,,,,
161,Arizona,AZ,3,H0AZ03321,,Vernon B.,Parker,"Parker, Vernon B.",,REP,"13,411",17.00%,,,,,,,,,,,,,,,,,,,,,,,,
162,Arizona,AZ,3,H0AZ03339,,Pamela,Gorman,"Gorman, Pamela",,REP,"6,473",8.20%,,,,,,,,,,,,,,,,,,,,,,,,
163,Arizona,AZ,3,H0AZ03354,,Paulina,Morris,"Morris, Paulina",,REP,"6,138",7.78%,,,,,,,,,,,,,,,,,,,,,,,,
164,Arizona,AZ,3,H0AZ03347,,Sam,Crump,"Crump, Sam",,REP,"3,886",4.92%,,,,,,,,,,,,,,,,,,,,,,,,
165,Arizona,AZ,3,H8AZ03126,,Ed,Winkler,"Winkler, Ed",,REP,"1,353",1.71%,,,,,,,,,,,,,,,,,,,,,,,,
166,Arizona,AZ,3,H0AZ03388,,Bob,Branch,"Branch, Bob",,REP,"1,141",1.45%,,,,,,,,,,,,,,,,,,,,,,,,
167,Arizona,AZ,3,H0AZ03370,,Leann,Hull,"Hull, Leann",,REP,"1,044",1.32%,,,,,,,,,,,,,,,,,,,,,,,,
168,Arizona,AZ,3,n/a,,,,,Party Votes:,REP,"78,907",,,,,,,,,,,,,,,,,,,,,,,,,
169,Arizona,AZ,3,H0AZ03305,,Jon,Hulburd,"Hulburd, Jon",,DEM,"27,388",100.00%,,,"85,610",41.14%,,,,,,,,,,,,,,,,,,,,
170,Arizona,AZ,3,n/a,,,,,Party Votes:,DEM,"27,388",,,,,,,,,,,,,,,,,,,,,,,,,
171,Arizona,AZ,3,H8AZ03134,,Michael,Shoen,"Shoen, Michael",,LIB,392,99.75%,,,"10,478",5.04%,,,,,,,,,,,,,,,,,,,,
172,Arizona,AZ,3,H0AZ03446 ,,Clay,Adair,"Adair, Clay",,W(LIB),1,0.25%,,,,,,,,,,,,,,,,,,,,,,,,
173,Arizona,AZ,3,n/a,,,,,Party Votes:,LIB,393,,,,,,,,,,,,,,,,,,,,,,,,,
174,Arizona,AZ,3,H0AZ03438,,Leonard ,Clark,"Clark, Leonard ",,W(GRE)/GRE,5,100.00%,,,"3,294",1.58%,,,,,,,,,,,,,,,,,,,,
175,Arizona,AZ,3,n/a,,,,,Party Votes:,GRE,5,,,,,,,,,,,,,,,,,,,,,,,,,
176,Arizona,AZ,3,n/a,,,,,District Votes:,,"106,693",,,,"208,071",,,,,,,,,,,,,,,,,,,,,
177,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Arizona,AZ,4,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,DEM,"24,613",100.00%,,,"61,524",66.94%,,,,,,,,,,,,,,,,,,,,
179,Arizona,AZ,4,n/a,,,,,Party Votes:,DEM,"24,613",,,,,,,,,,,,,,,,,,,,,,,,,
180,Arizona,AZ,4,H0AZ04493,,Janet,Contreras,"Contreras, Janet",,REP,"8,085",60.10%,,,"25,300",27.53%,,,,,,,,,,,,,,,,,,,,
181,Arizona,AZ,4,H0AZ04501,,Joe,Penalosa,"Penalosa, Joe",,REP,"5,368",39.90%,,,,,,,,,,,,,,,,,,,,,,,,
182,Arizona,AZ,4,n/a,,,,,Party Votes:,REP,"13,453",,,,,,,,,,,,,,,,,,,,,,,,,
183,Arizona,AZ,4,H8AZ04124,,Joe,Cobb,"Cobb, Joe",,LIB,219,100.00%,,,"2,718",2.96%,,,,,,,,,,,,,,,,,,,,
184,Arizona,AZ,4,n/a,,,,,Party Votes:,LIB,219,,,,,,,,,,,,,,,,,,,,,,,,,
185,Arizona,AZ,4,H8AZ04116,,Rebecca,Dewitt,"Dewitt, Rebecca",,GRE,148,100.00%,,,"2,365",2.57%,,,,,,,,,,,,,,,,,,,,
186,Arizona,AZ,4,n/a,,,,,Party Votes:,GRE,148,,,,,,,,,,,,,,,,,,,,,,,,,
187,Arizona,AZ,4,n/a,,,,,District Votes:,,"38,433",,,,"91,907",,,,,,,,,,,,,,,,,,,,,
188,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Arizona,AZ,5,H4AZ06045,,David,Schweikert,"Schweikert, David",,REP,"26,678",37.23%,,,"110,374",52.00%,,,,,,,,,,,,,,,,,,,,
