FEC ID,STATE,DISTRICT,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL RESULTS,GENERAL %,GENERAL RUNOFF RESULTS,GENERAL RUNOFF %,INCUMBENT INDICATOR,NOTES (See Endnotes Page)
H2AL02067,AL,02,Terry,Everett,"Everett, Terry",,R,Unopposed,,,,"129,233",68.75%,,,(I),
H0AL02061,AL,02,Charles,Woods,"Woods, Charles",,D,Unopposed,,,,"55,495",29.52%,,,,
H2AL02133,AL,02,Floyd,Shackelford,"Shackelford, Floyd",,LBT,,,,,"2,948",1.57%,,,,
,AL,02,,Scattered,Scattered ,,W,,,,,289,0.15%,,,,
,AL,02,,,   ,Total District Votes:,,,,,,"187,965",,,,,
H2AL03032,AL,03,Mike,Rogers,"Rogers, Mike",,R,"28,113",76.13%,,,"91,169",50.31%,,,,
H2AL03057,AL,03,Jason,Dial,"Dial, Jason",,R,"4,681",12.68%,,,,,,,,
H2AL03065,AL,03,Jeff,Fink,"Fink, Jeff",,R,"4,134",11.19%,,,,,,,,
,AL,03,,,   ,Total Party Votes:,R,"36,928",,,,,,,,,
H8AL03039,AL,03,Joe,Turnham,"Turnham, Joe",,D,"30,245",52.40%,,,"87,351",48.20%,,,,
H6AL03082,AL,03,Gerald,Willis,"Willis, Gerald",,D,"22,336",38.70%,,,,,,,,
H2AL03073,AL,03,Willie (Billy),Burnett,"Burnett, Willie (Billy)",,D,"5,139",8.90%,,,,,,,,
,AL,03,,,   ,Total Party Votes:,D,"57,720",,,,,,,,,
H2AL03081,AL,03,George,Crispin,"Crispin, George",,LBT,,,,,"2,565",1.42%,,,,
,AL,03,,Scattered,Scattered ,,W,,,,,138,0.08%,,,,
,AL,03,,,   ,Total District Votes:,,"94,648",,,,"181,223",,,,,
H6AL04098,AL,04,Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,"139,705",86.72%,,,(I),
H2AL04030,AL,04,Tony Hughes,McLendon,"McLendon, Tony Hughes",,LBT,,,,,"20,858",12.95%,,,,
,AL,04,,Scattered,Scattered ,,W,,,,,538,0.33%,,,,
,AL,04,,,   ,Total District Votes:,,,,,,"161,101",,,,,
H0AL05049,AL,05,Bud,Cramer,"Cramer, Bud",,D,Unopposed,,,,"143,029",73.28%,,,(I),
H2AL05060,AL,05,Stephen P.,Engel,"Engel, Stephen P.",,R,"13,971",55.86%,,,"48,226",24.71%,,,,
H2AL05078,AL,05,Michael,Williams,"Williams, Michael",,R,"11,040",44.14%,,,,,,,,
,AL,05,,,   ,Total Party Votes:,R,"25,011",,,,,,,,,
H8AL07071,AL,05,Alan F. ,Barksdale,"Barksdale, Alan F. ",,LBT,,,,,"3,772",1.93%,,,,
,AL,05,,Scattered,Scattered ,,W,,,,,144,0.07%,,,,
,AL,05,,,   ,Total District Votes:,,"25,011",,,,"195,171",,,,,
H2AL06035,AL,06,Spencer,Bachus,"Bachus, Spencer",,R,"79,509",87.81%,,,"178,171",89.83%,,,(I),
H0AL06070,AL,06,Terry,Reagin,"Reagin, Terry",,R,"11,042",12.19%,,,,,,,,
,AL,06,,,   ,Total Party Votes:,R,"90,551",,,,,,,,,
H2AL06092,AL,06,J. Holden ,McAllister,"McAllister, J. Holden ",,LBT,,,,,"19,639",9.90%,,,,
,AL,06,,Scattered,Scattered ,,W,,,,,536,0.27%,,,,
,AL,06,,,   ,Total District Votes:,,"90,551",,,,"198,346",,,,,
H0AL07060,AL,07,Artur,Davis,"Davis, Artur",,D,"43,519",43.06%,"52,394",56.00%,"153,735",92.44%,,,,
H2AL07041,AL,07,Earl F.,Hilliard,"Hilliard, Earl F.",,D,"46,224",45.74%,"41,162",44.00%,,,,,(I),
H2AL07140,AL,07,Sam,"Wiggins, III","Wiggins, Sam, III",,D,"11,315",11.20%,,,,,,,,
,AL,07,,,   ,Total Party Votes:,D,"101,058",,"93,556",,,,,,,
H2AL07157,AL,07,Lauren Orth,McCay,"McCay, Lauren Orth",,LBT,,,,,"12,100",7.28%,,,,
,AL,07,,Scattered,Scattered ,,W,,,,,474,0.29%,,,,
,AL,07,,,   ,Total District Votes:,,"101,058",,93556,,"166,309",,,,,
,AL,,,,   ,Total State Votes:,,"424,898",,"167,739",,"1,268,802",,,,,
,AK,,,,,,,,,,,,,,,,
S2AK00010,AK,S,Ted ,Stevens,"Stevens, Ted ",,R,"64,315",88.94%,,,"179,438",78.17%,,,(I),
S2AK00077,AK,S,Mike ,Aubrey,"Aubrey, Mike ",,R,"7,997",11.06%,,,,,,,,
,AK,S,,,   ,Total Party Votes:,R,"72,312",,,,,,,,,
S0AK00097,AK,S,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,"18,256",66.27%,,,"24,133",10.51%,,,,
S6AK00102,AK,S,Theresa Nangle,Obermeyer,"Obermeyer, Theresa Nangle",,D,"9,292",33.73%,,,,,,,,
,AK,S,,,   ,Total Party Votes:,D,"27,548",,,,,,,,,
S2AK00093,AK,S,Jim,Sykes,"Sykes, Jim",,GRN,"1,182",76.65%,,,"16,608",7.24%,,,,
S2AK00085,AK,S,Thomas M.,Higgins,"Higgins, Thomas M.",,GRN,360,23.35%,,,,,,,,
,AK,S,,,   ,Total Party Votes:,GRN,"1,542",,,,,,,,,
S2AK00069,AK,S,Jim ,Dore,"Dore, Jim ",,AKI,"2,665",100.00%,,,"6,724",2.93%,,,,
,AK,S,,,   ,Total Party Votes:,AKI,"2,665",,,,,,,,,
S2AK00101,AK,S,"Leonard J. "Len"""eona",Karpinski,"Karpinski, Leonard J. "Len"""arpi",,LBT,558,100.00%,,,"2,354",1.03%,,,,
,AK,S,,,   ,Total Party Votes:,LBT,558,,,,,,,,,
,AK,S,,Scattered,Scattered ,,W,,,,,291,0.13%,,,,
,AK,S,,,   ,Total State Votes:,,"104,625",,,,"229,548",,,,,
H6AK00045,AK,00,Don E.,Young,"Young, Don E.",,R,"65,353",100.00%,,,"169,685",74.51%,,,(I),
,AK,00,,,   ,Total Party Votes:,R,"65,353",,,,,,,,,
H0AK00055,AK,00,Clifford Mark,Greene,"Greene, Clifford Mark",,D,"15,467",64.51%,,,"39,357",17.28%,,,,
H0AK00063,AK,00,Dae,Miles,"Miles, Dae",,D,"8,508",35.49%,,,,,,,,
,AK,00,,,   ,Total Party Votes:,D,"23,975",,,,,,,,,
H2AK00077,AK,00,Russell F.,DeForest,"DeForest, Russell F.",,GRN,"1,486",100.00%,,,"14,435",6.34%,,,,
,AK,00,,,   ,Total Party Votes:,GRN,"1,486",,,,,,,,,
H2AK00085,AK,00,Rob,Clift,"Clift, Rob",,LBT,548,100.00%,,,"3,797",1.67%,,,,
,AK,00,,,   ,Total Party Votes:,LBT,548,,,,,,,,,
,AK,00,,Scattered,Scattered ,,W,,,,,451,0.20%,,,,
,AK,,,,   ,Total State Votes:,,"91,362",,,,"227,725",,,,,
,AR,,,,   ,,,,,,,,,,,,
S0AR00028,AR,S,Mark,Pryor,"Pryor, Mark",,D,Unopposed,,,,"433,306",53.90%,,,,
S6AR00124,AR,S,Tim,Hutchinson,"Hutchinson, Tim",,R,"71,576",77.70%,,,"370,653",46.10%,,,(I),
S2AR00065,AR,S,Jim Bob,Duggar,"Duggar, Jim Bob",,R,"20,546",22.30%,,,,,,,,
,AR,S,,,   ,Total Party Votes:,R,"92,122",,,,,,,,,
,AR,S,,,   ,Total State Votes:,,"92,122",,,,"803,959",,,,,
H6AR01072,AR,01,Marion,Berry,"Berry, Marion",,D,Unopposed,,,,"129,701",66.84%,,,(I),
H2AR01048,AR,01,Tommy F.,Robinson,"Robinson, Tommy F.",,R,Unopposed,,,,"64,357",33.16%,,,,
,AR,01,,,   ,Total District Votes:,,,,,,"194,058",,,,,
H6AR02203,AR,02,Vic,Snyder,"Snyder, Vic",,D,"55,098",72.37%,,,"142,752",92.92%,,,(I),
H2AR02038,AR,02,Jim B.,Baker,"Baker, Jim B.",,D,"21,033",27.63%,,,,,,,,
,AR,02,,,   ,Total Party Votes:,D,"76,131",,,,,,,,,
H2AR02046,AR,02,Ed,Garner,"Garner, Ed ",,W,,,,,"10,874",7.08%,,,,
,AR,02,,,   ,Total District Votes:,,"76,131",,,,"153,626",,,,,
H2AR03176,AR,03,John,Boozman,"Boozman, John",,R,Unopposed,,,,"141,478",98.90%,,,(I),
H2AR03226,AR,03,George N. ,Lyne,"Lyne, George N. ",,W,,,,,"1,577",1.10%,,,,
,AR,03,,,   ,Total District Votes:,,,,,,"143,055",,,,,
H0AR04038,AR,04,Mike,Ross,"Ross, Mike",,D,Unopposed,,,,"119,633",60.56%,,,(I),
H2AR04067,AR,04,Jay,Dickey,"Dickey, Jay",,R,"10,608",86.26%,,,"77,904",39.44%,,,,
H2AR04075,AR,04,"David "Bear"""avid ",Stearns,"Stearns, David "Bear"""tearn",,R,"1,689",13.74%,,,,,,,,
,AR,04,,,   ,Total Party Votes:,R,"12,297",,,,,,,,,
,AR,04,,,   ,Total District Votes:,,"12,297",,,,"197,537",,,,,
,AR, ,,,   ,Total State Votes:,,"88,428",,,,"688,276",,,,,
,AS,,,,   ,,,,,,,,,,,,
H0AS00018,AS,00,Eni F. H. ,Faleomavaega,"Faleomavaega, Eni F. H. ",,D,,,,,"4,294",41.32%,"4,959",54.84%,(I),
H2AS00048,AS,00,Fagafaga D.,Langkilde,"Langkilde, Fagafaga D.",,I,,,,,"3,332",32.06%,"4,083",45.16%,,
H4AS00036,AS,00,Amata Aumua,Coleman,"Coleman, Amata Aumua",,R,,,,,"2,767",26.62%,,,,
,AS,,,,   ,Total Votes:,,,,,,"10,393",,"9,042",,,1
,AZ,,,,   ,,,,,,,,,,,,
H2AZ01172,AZ,01,Rick,Renzi,"Renzi, Rick",,R,"11,379",24.43%,,,"85,967",49.21%,,,,
H2AZ01214,AZ,01,Lewis Noble,Tenney,"Tenney, Lewis Noble",,R,"9,569",20.54%,,,,,,,,
H2AZ01149,AZ,01,Sydney Ann,Hay,"Hay, Sydney Ann",,R,"9,550",20.50%,,,,,,,,
H2AZ01222,AZ,01,Alan,Everett,"Everett, Alan",,R,"7,321",15.72%,,,,,,,,
H2AZ01180,AZ,01,Bruce,Whiting,"Whiting, Bruce",,R,"6,872",14.75%,,,,,,,,
H2AZ01164,AZ,01,David,Stafford,"Stafford, David",,R,"1,894",4.07%,,,,,,,,
,AZ,01,,,   ,Total Party Votes:,R,"46,585",,,,,,,,,
H2AZ08011,AZ,01,George,Cordova,"Cordova, George",,D,"11,689",21.72%,,,"79,730",45.64%,,,,
H2AZ01198,AZ,01,Stephen,Udall,"Udall, Stephen",,D,"10,690",19.87%,,,,,,,,
H2AZ00059,AZ,01,Diane,Prescott,"Prescott, Diane",,D,"9,629",17.89%,,,,,,,,
H2AZ01230,AZ,01,Fred,Duval,"Duval, Fred",,D,"8,648",16.07%,,,,,,,,
H2AZ01206,AZ,01,Derrick,Watchman,"Watchman, Derrick",,D,"7,326",13.61%,,,,,,,,
H2AZ01156,AZ,01,Sam,Martinez,"Martinez, Sam",,D,"4,908",9.12%,,,,,,,,
H0AZ03222,AZ,01,Roger,Hartstone,"Hartstone, Roger",,D,922,1.71%,,,,,,,,
,AZ,01,,,   ,Total Party Votes:,D,"53,812",,,,,,,,,
H2AZ01263,AZ,01,Edwin,Porr,"Porr, Edwin",,LBT,286,54.06%,,,"8,990",5.15%,,,,
H2AZ01255,AZ,01,Andy,Fernandez,"Fernandez, Andy",,LBT,243,45.94%,,,,,,,,
,AZ,01,,,   ,Total Party Votes:,LBT,529,,,,,,,,,
,AZ,01,,,   ,Total District Votes:,,"100,926",,,,"174,687",,,,,
H4AZ04024,AZ,02,Trent,Franks,"Franks, Trent",,R,"14,749",27.66%,,,"100,359",59.92%,,,,
H2AZ02188,AZ,02,Lisa,Atkins,"Atkins, Lisa",,R,"13,952",26.17%,,,,,,,,
H2AZ02212,AZ,02,John,Keegan,"Keegan, John",,R,"10,560",19.81%,,,,,,,,
H2AZ02196,AZ,02,Scott,Bundgaard,"Bundgaard, Scott",,R,"8,701",16.32%,,,,,,,,
H2AZ03079,AZ,02,Dusko,Jovicic,"Jovicic, Dusko",,R,"3,805",7.14%,,,,,,,,
H2AZ02238,AZ,02,Mike,Schaefer,"Schaefer, Mike",,R,933,1.75%,,,,,,,,
H8AZ03076,AZ,02,Dick,Hensley,"Hensley, Dick",,R,618,1.16%,,,,,,,,
,AZ,02,,,   ,Total Party Votes:,R,"53,318",,,,,,,,,
H2AZ02220,AZ,02,Randy,Camacho,"Camacho, Randy",,D,"6,507",33.02%,,,"61,217",36.55%,,,,
H2AZ03053,AZ,02,Elizabeth (Liz),Farley,"Farley, Elizabeth (Liz)",,D,"5,994",30.41%,,,,,,,,
H2AZ02204,AZ,02,Sandy,Reagan,"Reagan, Sandy",,D,"3,857",19.57%,,,,,,,,
H0AZ03263,AZ,02,Linda,Calvert,"Calvert, Linda",,D,"3,323",16.86%,,,,,,,,
H0AZ03248,AZ,02,Gene ,Scharer,"Scharer, Gene ",,W(D),28,0.14%,,,,,,,,
,AZ,02,,,   ,Total Party Votes:,D,"19,709",,,,,,,,,
H0AZ03271,AZ,02,Edward,Carlson,"Carlson, Edward",,LBT,307,100.00%,,,"5,919",3.53%,,,,
,AZ,02,,,   ,Total Party Votes:,LBT,307,,,,,,,,,
H2AZ02246,AZ,02,William,Crum,"Crum, William",,W,,,,,7,0.00%,,,,
,AZ,02,,,   ,Total District Votes:,,"73,334",,,,"167,502",,,,,
H4AZ04016,AZ,03,John,Shadegg,"Shadegg, John",,R,"36,500",100.00%,,,"104,847",67.32%,,,(I),
,AZ,03,,,   ,Total Party Votes:,R,"36,500",,,,,,,,,
H2AZ03061,AZ,03,Charles,Hill,"Hill, Charles",,D,"14,336",100.00%,,,"47,173",30.29%,,,,
,AZ,03,,,   ,Total Party Votes:,D,"14,336",,,,,,,,,
H4AZ04073,AZ,03,Mark,Yannone,"Yannone, Mark",,LBT,186,58.13%,,,"3,731",2.40%,,,,
H0AZ04477,AZ,03,Edward,Gaudreau,"Gaudreau, Edward",,LBT,134,41.88%,,,,,,,,
,AZ,03,,,   ,Total Party Votes:,LBT,320,,,,,,,,,
,AZ,03,,,   ,Total District Votes:,,"51,156",,,,"155,751",,,,,
H2AZ02055,AZ,04,Ed,Pastor,"Pastor, Ed",,D,"17,051",100.00%,,,"44,517",67.38%,,,(I),
,AZ,04,,,   ,Total Party Votes:,D,"17,051",,,,,,,,,
H2AZ04093,AZ,04,Jonathan,Barnert,"Barnert, Jonathan",,R,"5,616",74.59%,,,"18,381",27.82%,,,,
H2AZ04101,AZ,04,Don,Karg,"Karg, Don",,R,"1,913",25.41%,,,,,,,,
,AZ,04,,,   ,Total Party Votes:,R,"7,529",,,,,,,,,
H2AZ04119,AZ,04,Amy ,Gibbons,"Gibbons, Amy ",,W(LBT)/LBT,20,86.96%,,,"3,167",4.79%,,,,
,AZ,04,Richard ,Sutton,"Sutton, Richard ",,W(LBT)  ,3,13.04%,,,,,,,,
,AZ,04,,,   ,Total Party Votes:,LBT,23,,,,,,,,,
,AZ,04,,,   ,Total District Votes:,,"24,603",,,,"66,065",,,,,
H4AZ06052,AZ,05,J.D.,Hayworth,"Hayworth, J.D.",,R,"37,325",100.00%,,,"103,870",61.17%,,,(I),
,AZ,05,,,   ,Total Party Votes:,R,"37,325",,,,,,,,,
H2AZ05108,AZ,05,Craig,Columbus,"Columbus, Craig",,D,"8,147",49.03%,,,"61,559",36.25%,,,,
H2AZ05090,AZ,05,Larry,King,"King, Larry",,D,"4,903",29.51%,,,,,,,,
H2AZ05116,AZ,05,Ronald E.,Maynard,"Maynard, Ronald E.",,D,"3,567",21.47%,,,,,,,,
,AZ,05,,,   ,Total Party Votes:,D,"16,617",,,,,,,,,
H2AZ05124,AZ,05,Warren,Severin,"Severin, Warren",,W(LBT)/LBT,64,100.00%,,,"4,383",2.58%,,,,
,AZ,05,,,   ,Total Party Votes:,LBT,64,,,,,,,,,
,AZ,05,,,   ,Total District Votes:,,"54,006",,,,"169,812",,,,,
H0AZ01184,AZ,06,Jeff,Flake,"Flake, Jeff",,R,"41,025",100.00%,,,"103,094",65.94%,,,(I),
,AZ,06,,,   ,Total Party Votes:,R,"41,025",,,,,,,,,
H2AZ06106,AZ,06,Deborah,Thomas,"Thomas, Deborah",,D,"13,720",100.00%,,,"49,355",31.57%,,,,
,AZ,06,,,   ,Total Party Votes:,D,"13,720",,,,,,,,,
H2AZ06114,AZ,06,Andy ,Wagner,"Wagner, Andy ",,W(LBT)/LBT,8,100.00%,,,"3,888",2.49%,,,,
,AZ,06,,,   ,Total Party Votes:,LBT,8,,,,,,,,,
,AZ,06,,,   ,Total District Votes:,,"54,753",,,,"156,337",,,,,
H2AZ07070,AZ,07,Raúl M.,Grijalva,"Grijalva, Raúl M.",,D,"14,835",40.85%,,,"61,256",59.00%,,,,
H2AZ07039,AZ,07,Elaine,Richardson,"Richardson, Elaine",,D,"7,589",20.89%,,,,,,,,
H2AZ07062,AZ,07,Jaime P.,Gutierrez,"Gutierrez, Jaime P.",,D,"5,401",14.87%,,,,,,,,
H2AZ07047,AZ,07,Lisa,Otondo,"Otondo, Lisa",,D,"2,302",6.34%,,,,,,,,
H6AZ02015,AZ,07,Luis Armando,Gonzales,"Gonzales, Luis Armando",,D,"2,105",5.80%,,,,,,,,
H2AZ07054,AZ,07,Mark,Fleisher,"Fleisher, Mark",,D,"2,022",5.57%,,,,,,,,
H2AZ07104,AZ,07,Sherry,Smith,"Smith, Sherry",,D,"1,058",2.91%,,,,,,,,
H2AZ07021,AZ,07,Jesús,Romo,"Romo, Jesús",,D,"1,008",2.78%,,,,,,,,
,AZ,07,,,   ,Total Party Votes:,D,"36,320",,,,,,,,,
H2AZ07013,AZ,07,Ross,Hieb,"Hieb, Ross",,R,"6,426",40.71%,,,"38,474",37.06%,,,,
H4AZ02010,AZ,07,Joseph,Sweeney,"Sweeney, Joseph",,R,"4,781",30.29%,,,,,,,,
H2AZ07088,AZ,07,Al,Piña,"Piña, Al",,R,"2,372",15.03%,,,,,,,,
H2AZ07112,AZ,07,Lori,Lustig,"Lustig, Lori",,R,"2,207",13.98%,,,,,,,,
,AZ,07,,,   ,Total Party Votes:,R,"15,786",,,,,,,,,
H2AZ07138,AZ,07,John L.,Nemeth,"Nemeth, John L.",,LBT,312,100.00%,,,"4,088",3.94%,,,,
,AZ,07,,,   ,Total Party Votes:,LBT,312,,,,,,,,,
,AZ,07,,,   ,Total District Votes:,,"52,418",,,,"103,818",,,,,
H2AZ02014,AZ,08,Jim,Kolbe,"Kolbe, Jim",,R,"35,546",72.47%,,,"126,930",63.33%,,,(I),
H2AZ05082,AZ,08,James (Jim),Behnke,"Behnke, James (Jim)",,R,"13,502",27.53%,,,,,,,,
,AZ,08,,,   ,Total Party Votes:,R,"49,048",,,,,,,,,
H0AZ05037,AZ,08,Mary Judge,Ryan,"Ryan, Mary Judge",,D,"32,322",100.00%,,,"67,328",33.59%,,,,
,AZ,08,,,   ,Total Party Votes:,D,"32,322",,,,,,,,,
H2AZ08029 ,AZ,08,Joe,Duarte,"Duarte, Joe",,LBT,453,100.00%,,,"6,142",3.06%,,,,
,AZ,08,,,   ,Total Party Votes:,LBT,453,,,,,,,,,
H2AZ08037,AZ,08,Jim,Dorrance,"Dorrance, Jim",,W,,,,,28,0.01%,,,,
,AZ,08,,,   ,Total District Votes:,,"81,823",,,,"200,428",,,,,
,AZ,,,,   ,Total State Votes:,,"493,019",,,,"1,194,400",,,,,
,CA,,,,   ,,,,,,,,,,,,
H8CA01109,CA,01,Mike,Thompson,"Thompson, Mike",,D,"64,401",100.00%,,,"118,669",64.07%,,,(I),
,CA,01,,,   ,Total Party Votes:,D,"64,401",,,,,,,,,
H0CA01106,CA,01,Lawrence R.,Wiesner,"Wiesner, Lawrence R.",,R,"42,616",100.00%,,,"60,013",32.40%,,,,
,CA,01,,,   ,Total Party Votes:,R,"42,616",,,,,,,,,
H2CA01102,CA,01,Kevin,Bastian,"Bastian, Kevin",,LBT,730,100.00%,,,"6,534",3.53%,,,,
,CA,01,,,   ,Total Party Votes:,LBT,730,,,,,,,,,
,CA,01,,,   ,Total District Votes:,,"107,747",,,,"185,216",,,,,
H6CA02010,CA,02,Wally,Herger,"Herger, Wally",,R,"71,028",88.77%,,,"117,747",65.79%,,,(I),
H2CA02084,CA,02,Al,Thompson,"Thompson, Al",,R,"6,616",8.27%,,,,,,,,
H8CA02065,CA,02,Bob,Todd,"Todd, Bob",,R,"2,370",2.96%,,,,,,,,
,CA,02,,,   ,Total Party Votes:,R,"80,014",,,,,,,,,
H2CA02076,CA,02,Mike,Johnson,"Johnson, Mike",,D,"25,481",60.93%,,,"52,455",29.31%,,,,
H2CA02068,CA,02,Raymond G.,Hennemann,"Hennemann, Raymond G.",,D,"16,342",39.07%,,,,,,,,
,CA,02,,,   ,Total Party Votes:,D,"41,823",,,,,,,,,
H6CA02184,CA,02,Patrice ,Thiessen,"Thiessen, Patrice ",,NL,93,100.00%,,,"4,860",2.72%,,,,
,CA,02,,,   ,Total Party Votes:,NL,93, ,,,,,,,,
H0CA02104,CA,02,Charles R.,Martin,"Martin, Charles R.",,LBT,698,100.00%,,,"3,923",2.19%,,,,
,CA,02,,,   ,Total Party Votes:,LBT,698,,,,,,,,,
,CA,02,,,   ,Total District Votes:,,"122,628",,,,"178,985",,,,,
H8CA03105,CA,03,Doug,Ose,"Ose, Doug",,R,"67,277",100.00%,,,"121,732",62.45%,,,(I),
,CA,03,,,   ,Total Party Votes:,R,"67,277",,,,,,,,,
H8CA03113,CA,03,Howard,Beeman,"Beeman, Howard",,D,"41,650",100.00%,,,"67,136",34.44%,,,,
,CA,03,,,   ,Total Party Votes:,D,"41,650",,,,,,,,,
H8CA05134,CA,03,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LBT,548,100.00%,,,"6,050",3.10%,,,,
,CA,03,,,   ,Total Party Votes:,LBT,548,,,,,,,,,
,CA,03,,,   ,Total District Votes:,,"109,475",,,,"194,918",,,,,
H0CA14042,CA,04,John T.,Doolittle,"Doolittle, John T.",,R,"79,575",77.51%,,,"147,997",64.77%,,,(I),
H2CA04072,CA,04,Bill,Kirby,"Kirby, Bill",,R/W,"23,083",22.49%,,,401,0.18%,,,,
,CA,04,,,   ,Total Party Votes:,R,"102,658",,,,,,,,,
H0CA04100,CA,04,Mark A.,Norberg,"Norberg, Mark A.",,D,"44,786",100.00%,,,"72,860",31.89%,,,,
,CA,04,,,   ,Total Party Votes:,D,"44,786",,,,,,,,,
H2CA04080,CA,04,Allen M.,Roberts,"Roberts, Allen M.",,LBT,716,100.00%,,,"7,247",3.17%,,,,
,CA,04,,,   ,Total Party Votes:,LBT,716,,,,,,,,,
,CA,04,Philip James ,Parisius,"Parisius, Philip James ",,W,,,,,1,0.00%,,,,
,CA,04,,,   ,Total District Votes:,,"148,160",,,,"228,506",,,,,
H8CA03014,CA,05,Robert T.,Matsui,"Matsui, Robert T.",,D,"48,355",100.00%,,,"92,726",70.47%,,,(I),
,CA,05,,,   ,Total Party Votes:,D,"48,355",,,,,,,,,
H2CA05061,CA,05,Richard,Frankhuizen,"Frankhuizen, Richard",,R,"23,691",100.00%,,,"34,749",26.41%,,,,
,CA,05,,,   ,Total Party Votes:,R,"23,691",,,,,,,,,
H2CA05079,CA,05,Timothy E.,Roloff,"Roloff, Timothy E.",,LBT,286,100.00%,,,"4,103",3.12%,,,,
,CA,05,,,   ,Total Party Votes:,LBT,286,,,,,,,,,
,CA,05,,,   ,Total District Votes:,,"72,332",,,,"131,578",,,,,
H2CA01045,CA,06,Lynn,Woolsey,"Woolsey, Lynn",,D,"69,158",80.48%,,,"139,750",66.69%,,,(I),
H2CA06226,CA,06,Mike,Martini,"Martini, Mike",,D,"16,770",19.52%,,,,,,,,
,CA,06,,,   ,Total Party Votes:,D,"85,928",,,,,,,,,
H2CA06234,CA,06,Paul L.,Erickson,"Erickson, Paul L.",,R,"40,621",100.00%,,,"62,052",29.61%,,,,
,CA,06,,,   ,Total Party Votes:,R,"40,621",,,,,,,,,
H0CA06071,CA,06,Richard O.,Barton,"Barton, Richard O.",,LBT,709,100.00%,,,"4,936",2.36%,,,,
,CA,06,,,   ,Total Party Votes:,LBT,709,,,,,,,,,
H2CA06242,CA,06,Jeff,Rainforth,"Rainforth, Jeff",,REF,299,100.00%,,,"2,825",1.35%,,,,
,CA,06,,,   ,Total Party Votes:,REF,299,,,,,,,,,
