1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
55,,,,n/a,,,,,,,,,,,,,,,,,,,
56,AK,Alaska,00,H6AK00045,(I),Don,Young,"Young, Don",,R,"58,789",78.59%,,,"185,296",63.94%,,,,,W,,
57,AK,Alaska,00,H0AK00097,,John R.,Cox,"Cox, John R.",,R,"11,179",14.94%,,,,,,,,,,,
58,AK,Alaska,00,H2AK00135,,Terré L.,Gales,"Gales, Terré L.",,R,"4,841",6.47%,,,,,,,,,,,
59,AK,Alaska,00,n/a,,,,,Party Votes:,R,"74,809",,,,,,,,,,,,
60,AK,Alaska,00,H2AK00119,,Sharon M.,Cissna,"Cissna, Sharon M.",,D,"16,329",50.32%,,,"82,927",28.61%,,,,,,,
61,AK,Alaska,00,H2AK00101,,Matt,Moore,"Moore, Matt",,D,"7,374",22.73%,,,,,,,,,,,
62,AK,Alaska,00,H2AK00127,,Debra,Chesnut,"Chesnut, Debra",,D,"5,626",17.34%,,,,,,,,,,,
63,AK,Alaska,00,H4AK00057,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,"2,085",6.43%,,,,,,,,,,,
64,AK,Alaska,00,H2AK00093,,Doug,Urquidi,"Urquidi, Doug",,D,"1,034",3.19%,,,,,,,,,,,
65,AK,Alaska,00,n/a,,,,,Party Votes:,D,"32,448",,,,,,,,,,,,
66,AK,Alaska,00,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",,LIB,"5,741",100.00%,,,"15,028",5.19%,,,,,,,
67,AK,Alaska,00,n/a,,,,,Party Votes:,LIB,"5,741",,,,,,,,,,,,
68,AK,Alaska,00,H2AK00176,,Ted,Gianoutsos,"Gianoutsos, Ted",,NAF,,,,,"5,589",1.93%,,,,,,,
69,AK,Alaska,00,n/a,,,Scattered,Scattered,,W,,,,,964,0.33%,,,,,,,
70,AK,Alaska,00,n/a,,,,,District Votes:,,"112,998",,,,"289,804",,,,,,,,
71,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,,
72,AK,Alaska,H,n/a,,,,,Total State Votes:,,"112,998",,,,"289,804",,,,,,,,
73,,,,n/a,,,,,,,,,,,,,,,,,,,
74,AS,American Samoa,00,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,D,,,,,"7,221",55.22%,,,,,W,,
75,AS,American Samoa,00,H4AS00036,,Aumua,Amata,"Amata, Aumua",,CON,,,,,"4,420",33.80%,,,,,,,
76,AS,American Samoa,00,H8AS00052,,Rosie F. Tago,Lancaster,"Lancaster, Rosie F. Tago",,IND,,,,,697,5.33%,,,,,,,
77,AS,American Samoa,00,H2AS00055,,"Kereti, Jr.",Mata'utia,"Mata'utia, Kereti, Jr.",,D,,,,,438,3.35%,,,,,,,
78,AS,American Samoa,00,H2AS00063,,Fatumalala Leulua'iali'i A.,Al-Sheri,"Al-Sheri, Fatumalala Leulua'iali'i A.",,NPA,,,,,300,2.29%,,,,,,,
79,AS,American Samoa,00,n/a,,,,,District Votes:,,,,,,"13,076",,,,,,,,
80,AS,American Samoa,,n/a,,,,,,,,,,,,,,,,,,,
81,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,"13,076",,,,,,,,
82,,,,n/a,,,,,,,,,,,,,,,,,,,
83,AZ,Arizona,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,
84,AZ,Arizona,01,H8AZ01104,,Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,"33,831",63.74%,,,"122,774",48.80%,,,,,W,,
85,AZ,Arizona,01,H2AZ01271,,Wenona,Benally Baldenegro,"Benally Baldenegro, Wenona",,D,"19,247",36.26%,,,,,,,,,,,
86,AZ,Arizona,01,n/a,,,,,Party Votes:,D,"53,078",,,,,,,,,,,,
87,AZ,Arizona,01,H0AZ08056,,Jonathan,Paton,"Paton, Jonathan",,R,"28,644",60.86%,,,"113,594",45.15%,,,,,,,
88,AZ,Arizona,01,H2AZ01305,,Gaither,Martin,"Martin, Gaither",,R,"8,958",19.03%,,,,,,,,,,,
89,AZ,Arizona,01,H2AZ01289,,Douglas,Wade,"Wade, Douglas",,R,"6,758",14.36%,,,,,,,,,,,
90,AZ,Arizona,01,H2AZ01313,,Patrick,Gatti,"Gatti, Patrick",,R,"2,707",5.75%,,,,,,,,,,,
91,AZ,Arizona,01,n/a,,,,,Party Votes:,R,"47,067",,,,,,,,,,,,
92,AZ,Arizona,01,H2AZ01321,,Kim,Allen,"Allen, Kim",,W(LIB)/LIB,97,100.00%,,,"15,227",6.05%,,,,,,,
93,AZ,Arizona,01,n/a,,,,,Party Votes:,LIB,97,,,,,,,,,,,,
94,AZ,Arizona,01,n/a,,,,,District Votes:,,"100,242",,,,"251,595",,,,,,,,
95,AZ,Arizona,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,
96,AZ,Arizona,02,H2AZ08094,(I),Ron ,Barber,"Barber, Ron ",,D,"51,206",82.03%,,,"147,338",50.41%,,,,,W,,
97,AZ,Arizona,02,H2AZ08078,,Matt,Heinz,"Heinz, Matt",,D,"11,213",17.96%,,,,,,,,,,,
98,AZ,Arizona,02,H2AZ08128,,Charlie,Manolakis,"Manolakis, Charlie",,W(D),4,0.01%,,,,,,,,,,,
99,AZ,Arizona,02,n/a,,,,,Party Votes:,D,"62,423",,,,,,,,,,,,
100,AZ,Arizona,02,H2AZ08102,,Martha ,McSally,"McSally, Martha ",,R,"52,809",81.70%,,,"144,884",49.57%,,,,,,,
101,AZ,Arizona,02,H2AZ08110,,Mark,Koskiniemi,"Koskiniemi, Mark",,R,"11,828",18.30%,,,,,,,,,,,
102,AZ,Arizona,02,n/a,,,,,Party Votes:,R,"64,637",,,,,,,,,,,,
103,AZ,Arizona,02,H2AZ08045,,Anthony,Prowell,"Prowell, Anthony",,W,,,,,57,0.02%,,,,,,,
104,AZ,Arizona,02,n/a,,,,,District Votes:,,"127,060",,,,"292,279",,,,,,,,
105,AZ,Arizona,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,
106,AZ,Arizona,03,H2AZ07070,(I),Raúl M.,Grijalva,"Grijalva, Raúl M.",,D,"24,044",65.63%,,,"98,468",58.37%,,,,,W,,
107,AZ,Arizona,03,H2AZ03137,,Amanda,Aguirre,"Aguirre, Amanda",,D,"9,484",25.89%,,,,,,,,,,,
108,AZ,Arizona,03,H2AZ03111,,Manny,Arreguin,"Arreguin, Manny",,D,"3,105",8.48%,,,,,,,,,,,
109,AZ,Arizona,03,n/a,,,,,Party Votes:,D,"36,633",,,,,,,,,,,,
110,AZ,Arizona,03,H2AZ07146,,Gabriela,Saucedo Mercer,"Saucedo Mercer, Gabriela",,R,"12,474",65.32%,,,"62,663",37.15%,,,,,,,
111,AZ,Arizona,03,H2AZ07161,,Jaime,Vasquez,"Vasquez, Jaime",,R,"6,622",34.68%,,,,,,,,,,,
112,AZ,Arizona,03,n/a,,,,,Party Votes:,R,"19,096",,,,,,,,,,,,
113,AZ,Arizona,03,H2AZ03145,,Blanca,Guerra,"Guerra, Blanca",,LIB,116,100.00%,,,"7,567",4.49%,,,,,,,
114,AZ,Arizona,03,n/a,,,,,Party Votes:,LIB,116,,,,,,,,,,,,
115,AZ,Arizona,03,n/a,,,,,District Votes:,,"55,845",,,,"168,698",,,,,,,,
116,AZ,Arizona,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,
117,AZ,Arizona,04,H0AZ01259,(I),Raul,Gosar,"Gosar, Raul",,R,"40,033",51.35%,,,"162,907",66.83%,,,,,W,,
118,AZ,Arizona,04,H2AZ04135,,Ron ,Gould,"Gould, Ron ",,R,"24,617",31.57%,,,,,,,,,,,
119,AZ,Arizona,04,H4AZ02093,,Rick,Murphy,"Murphy, Rick",,R,"13,315",17.08%,,,,,,,,,,,
120,AZ,Arizona,04,n/a,,,,,Party Votes:,R,"77,965",,,,,,,,,,,,
121,AZ,Arizona,04,H2AZ04150,,Johnnie,Robinson,"Robinson, Johnnie",,D,"10,183",50.05%,,,"69,154",28.37%,,,,,,,
122,AZ,Arizona,04,H2AZ04143,,Mikel,Weisser,"Weisser, Mikel",,D,"10,164",49.95%,,,,,,,,,,,
123,AZ,Arizona,04,n/a,,,,,Party Votes:,D,"20,347",,,,,,,,,,,,
124,AZ,Arizona,04,H2AZ04176,,Joe,Pamelia,"Pamelia, Joe",,LIB,189,100.00%,,,"9,306",3.82%,,,,,,,
125,AZ,Arizona,04,n/a,,,,,Party Votes:,LIB,189,,,,,,,,,,,,
126,AZ,Arizona,04,H8AZ06012,,Richard,Grayson,"Grayson, Richard",,W(AE)/AE,11,100.00%,,,"2,393",0.98%,,,,,,,
127,AZ,Arizona,04,n/a,,,,,Party Votes:,AE,11,,,,,,,,,,,,
128,AZ,Arizona,04,n/a,,,,,District Votes:,,"98,512",,,,"243,760",,,,,,,,
129,AZ,Arizona,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,
130,AZ,Arizona,05,H4AZ01038,,Matt,Salmon,"Salmon, Matt",,R,"41,078",51.85%,,,"183,470",67.19%,,,,,W,,
131,AZ,Arizona,05,H2AZ06148,,Kirk,Adams,"Adams, Kirk",,R,"38,152",48.15%,,,,,,,,,,,
132,AZ,Arizona,05,n/a,,,,,Party Votes:,R,"79,230",,,,,,,,,,,,
133,AZ,Arizona,05,H2AZ05140,,Spencer,Morgan,"Morgan, Spencer",,D,"19,659",100.00%,,,"89,589",32.81%,,,,,,,
134,AZ,Arizona,05,n/a,,,,,Party Votes:,D,"19,659",,,,,,,,,,,,
135,AZ,Arizona,05,n/a,,,,,District Votes:,,"98,889",,,,"273,059",,,,,,,,
136,AZ,Arizona,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,,
137,AZ,Arizona,06,H4AZ06045,(I),David,Schweikert,"Schweikert, David",,R,"41,821",51.48%,,,"179,706",61.30%,,,,,W,,
138,AZ,Arizona,06,H0AZ03362,(I),Ben,Quayle,"Quayle, Ben",,R,"39,414",48.52%,,,,,,,,,,,
139,AZ,Arizona,06,n/a,,,,,Party Votes:,R,"81,235",,,,,,,,,,,,
140,AZ,Arizona,06,H2AZ06171,,Matt,Jette,"Jette, Matt",,D,"12,383",51.91%,,,"97,666",33.31%,,,,,,,
141,AZ,Arizona,06,H2AZ05132,,W. John,Williamson,"Williamson, W. John",,D,"11,471",48.09%,,,,,,,,,,,
142,AZ,Arizona,06,n/a,,,,,Party Votes:,D,"23,854",,,,,,,,,,,,
143,AZ,Arizona,06,H2AZ06189,,Jack,Anderson,"Anderson, Jack",,LIB,287,100.00%,,,"10,167",3.47%,,,,,,,
144,AZ,Arizona,06,n/a,,,,,Party Votes:,LIB,287,,,,,,,,,,,,
145,AZ,Arizona,06,H2AZ06197,,Mark,Salazar,"Salazar, Mark",,W(GRE)/GRE,2,100.00%,,,"5,637",1.92%,,,,,,,
146,AZ,Arizona,06,n/a,,,,,Party Votes:,GRE,2,,,,,,,,,,,,
147,AZ,Arizona,06,n/a,,James,Ketover,"Ketover, James",,W,,,,,1,0.00%,,,,,,,
148,AZ,Arizona,06,n/a,,,,,District Votes:,,"105,378",,,,"293,177",,,,,,,,
149,AZ,Arizona,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,,
150,AZ,Arizona,07,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,D,"22,664",79.03%,,,"104,489",81.74%,,,,,W,,
151,AZ,Arizona,07,H8AZ04116,,Rebecca,DeWitt,"DeWitt, Rebecca",,D,"6,013",20.97%,,,,,,,,,,,
152,AZ,Arizona,07,n/a,,,,,Party Votes:,D,"28,677",,,,,,,,,,,,
153,AZ,Arizona,07,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,LIB,162,100.00%,,,"23,338",18.26%,,,,,,,
154,AZ,Arizona,07,n/a,,,,,Party Votes:,LIB,162,,,,,,,,,,,,
155,AZ,Arizona,07,H2AZ07179,,Scott,Fistler,"Fistler, Scott",,W(R),116,100.00%,,,,,,,,,,,
156,AZ,Arizona,07,n/a,,,,,Party Votes:,R,116,,,,,,,,,,,,
157,AZ,Arizona,07,n/a,,,,,District Votes:,,"28,955",,,,"127,827",,,,,,,,
158,AZ,Arizona,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,,
159,AZ,Arizona,08,H4AZ04024,(I),Trent ,Franks,"Franks, Trent ",,R,"57,257",83.17%,,,"172,809",63.35%,,,,,W,,
160,AZ,Arizona,08,H2AZ08144,,Tony,Passalacqua,"Passalacqua, Tony",,R,"11,572",16.81%,,,,,,,,,,,
161,AZ,Arizona,08,H2AZ08136,,Helmuth,Hack,"Hack, Helmuth",,W(R),18,0.03%,,,,,,,,,,,
162,AZ,Arizona,08,n/a,,,,,Party Votes:,R,"68,847",,,,,,,,,,,,
163,AZ,Arizona,08,H0AZ03248,,Gene,Scharer,"Scharer, Gene",,D,"24,510",100.00%,,,"95,635",35.06%,,,,,,,
164,AZ,Arizona,08,n/a,,,,,Party Votes:,D,"24,510",,,,,,,,,,,,
165,AZ,Arizona,08,H2AZ08151,,Stephen,Dolgos,"Dolgos, Stephen",,AE,34,100.00%,,,"4,347",1.59%,,,,,,,
166,AZ,Arizona,08,n/a,,,,,Party Votes:,AE,34,,,,,,,,,,,,
167,AZ,Arizona,08,n/a,,,,,District Votes:,,"93,391",,,,"272,791",,,,,,,,
168,AZ,Arizona,,n/a,,,,DISTRICT 9,,,,,,,,,,,,,,,
169,AZ,Arizona,09,H2AZ09019,,Kyrsten,Sinema,"Sinema, Kyrsten",,D,"15,536",40.78%,,,"121,881",48.73%,,,,,W,,
170,AZ,Arizona,09,H2AZ09027,,David,Schapira,"Schapira, David",,D,"11,419",29.97%,,,,,,,,,,,
171,AZ,Arizona,09,H2AZ09043,,Andrei,Cherny,"Cherny, Andrei",,D,"11,146",29.25%,,,,,,,,,,,
172,AZ,Arizona,09,n/a,,,,,Party Votes:,D,"38,101",,,,,,,,,,,,
173,AZ,Arizona,09,H0AZ03321,,Vernon B.,Parker,"Parker, Vernon B.",,R,"11,184",22.46%,,,"111,630",44.63%,,,,,,,
174,AZ,Arizona,09,H2AZ09035,,Wendy,Rogers,"Rogers, Wendy",,R,"10,479",21.05%,,,,,,,,,,,
175,AZ,Arizona,09,H2AZ09050,,Martin,Sepulveda,"Sepulveda, Martin",,R,"10,165",20.42%,,,,,,,,,,,
176,AZ,Arizona,09,H2AZ06155,,Travis,Grantham,"Grantham, Travis",,R,"9,179",18.44%,,,,,,,,,,,
177,AZ,Arizona,09,H2AZ09118,,Jeff,Thompson,"Thompson, Jeff",,R,"3,358",6.75%,,,,,,,,,,,
178,AZ,Arizona,09,H2AZ09100,,Lisa,Borowsky,"Borowsky, Lisa",,R,"3,281",6.59%,,,,,,,,,,,
179,AZ,Arizona,09,H2AZ09084,,Leah,Campos Schandlbauer,"Campos Schandlbauer, Leah",,R,"2,139",4.30%,,,,,,,,,,,
180,AZ,Arizona,09,n/a,,,,,Party Votes:,R,"49,785",,,,,,,,,,,,
181,AZ,Arizona,09,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,W(LIB)/LIB,90,100.00%,,,"16,620",6.64%,,,,,,,
182,AZ,Arizona,09,n/a,,,,,Party Votes:,LIB,90,,,,,,,,,,,,
183,AZ,Arizona,09,n/a,,,,,District Votes:,,"87,976",,,,"250,131",,,,,,,,
184,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,,
185,AZ,Arizona,H,n/a,,,,,Total State Votes:,,"796,248",,,,"2,173,317",,,,,,,,
186,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,,
187,AZ,Arizona,S,S2AZ00141,,Jeff,Flake,"Flake, Jeff",,R,"357,360",69.25%,,,"1,104,457",49.23%,,,,,W,,
188,AZ,Arizona,S,S2AZ00190,,Wil,Cardon,"Cardon, Wil",,R,"110,150",21.35%,,,,,,,,,,,
189,AZ,Arizona,S,S2AZ00216,,Clair,Van Steenwyk,"Van Steenwyk, Clair",,R,"29,159",5.65%,,,,,,,,,,,
190,AZ,Arizona,S,S2AZ00166,,Bryan,Hackbarth,"Hackbarth, Bryan",,R,"19,174",3.72%,,,,,,,,,,,
191,AZ,Arizona,S,S2AZ00240,,John,Lyon,"Lyon, John",,W(R),126,0.02%,,,,,,,,,,,
192,AZ,Arizona,S,S2AZ00281,,Luis,Acle,"Acle, Luis",,W(R),56,0.01%,,,,,,,,,,,
193,AZ,Arizona,S,n/a,,,,,Party Votes:,R,"516,025",,,,,,,,,,,,
194,AZ,Arizona,S,S2AZ00232,,Richard,Carmona,"Carmona, Richard",,D,"289,881",100.00%,,,"1,036,542",46.20%,,,,,,,
195,AZ,Arizona,S,n/a,,,,,Party Votes:,D,"289,881",,,,,,,,,,,,
196,AZ,Arizona,S,S2AZ00299,,Marc,Victor,"Victor, Marc",,W(LIB)/LIB,591,100.00%,,,"102,109",4.55%,,,,,,,
197,AZ,Arizona,S,n/a,,,,,Party Votes:,LIB,591,,,,,,,,,,,,
198,AZ,Arizona,S,S2AZ00307,,Stephen,Watts,"Watts, Stephen",,W,,,,,290,0.01%,,,,,,,
199,AZ,Arizona,S,n/a,,Don,Manspeaker,"Manspeaker, Don",,W,,,,,24,0.00%,,,,,,,
200,AZ,Arizona,S,n/a,,,,,Total State Votes:,,"806,497",,,,"2,243,422",,,,,,,,
201,,,,n/a,,,,,,,,,,,,,,,,,,,
202,AR,Arkansas,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,
203,AR,Arkansas,01,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,Unopposed,,,,"138,800",56.23%,,,,,W,,
204,AR,Arkansas,01,H2AR01071,,Scott,Ellington,"Ellington, Scott",,D,"27,936",49.53%,"10,028",50.74%,"96,601",39.13%,,,,,,,
205,AR,Arkansas,01,H2AR01055,,Clark M.,Hall,"Hall, Clark M.",,D,"21,861",38.76%,"9,737",49.26%,,,,,,,,,
206,AR,Arkansas,01,H2AR01063,,Gary,Latanich,"Latanich, Gary",,D,"6,605",11.71%,,,,,,,,,,,
207,AR,Arkansas,01,n/a,,,,,Party Votes:,D,"56,402",,"19,765",,,,,,,,,,
208,AR,Arkansas,01,H2AR01089,,Jessica,Paxton,"Paxton, Jessica",,LIB,,,,,"6,427",2.60%,,,,,,,
209,AR,Arkansas,01,H2AR01097,,Jacob,Holloway,"Holloway, Jacob",,GRE,,,,,"5,015",2.03%,,,,,,,
210,AR,Arkansas,01,n/a,,,,,District Votes:,,"56,402",,"19,765",,"246,843",,,,,,,,
211,AR,Arkansas,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,
212,AR,Arkansas,02,H0AR02107,(I),Tim ,Griffin,"Griffin, Tim ",,R,Unopposed,,,,"158,175",55.19%,,,,,W,,
213,AR,Arkansas,02,H2AR02053,,Herb,Rule,"Rule, Herb",,D,Unopposed,,,,"113,156",39.48%,,,,,,,
214,AR,Arkansas,02,H2AR02079,,Barbara,Ward,"Ward, Barbara",,GRE,,,,,"8,566",2.99%,,,,,,,
215,AR,Arkansas,02,H2AR02061,,Chris,Hayes,"Hayes, Chris",,LIB,,,,,"6,701",2.34%,,,,,,,
216,AR,Arkansas,02,n/a,,,,,District Votes:,,,,,,"286,598",,,,,,,,
217,AR,Arkansas,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,
218,AR,Arkansas,03,H0AR03055,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,"186,467",75.90%,,,,,W,,
219,AR,Arkansas,03,H2AR03242,,Ken,Aden,"Aden, Ken",,D,Unopposed,,,,,,,,,,,,
220,AR,Arkansas,03,H2AR03259,,Rebekah,Kennedy,"Kennedy, Rebekah",,GRE,,,,,"39,318",16.01%,,,,,,,
221,AR,Arkansas,03,H2AR03267,,David,Pangrac,"Pangrac, David",,LIB,Unopposed,,,,"19,875",8.09%,,,,,,,
222,AR,Arkansas,03,n/a,,,,,District Votes:,,,,,,"245,660",,,,,,,,
223,AR,Arkansas,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,
224,AR,Arkansas,04,H2AR04083,,Tom,Cotton,"Cotton, Tom",,R,"20,899",57.55%,,,"154,149",59.53%,,,,,W,,
225,AR,Arkansas,04,H0AR04079,,Beth Anne,Rankin,"Rankin, Beth Anne",,R,"13,460",37.07%,,,,,,,,,,,
226,AR,Arkansas,04,H2AR04117,,John ,Cowart,"Cowart, John ",,R,"1,953",5.38%,,,,,,,,,,,
227,AR,Arkansas,04,n/a,,,,,Party Votes:,R,"36,312",,,,,,,,,,,,
228,AR,Arkansas,04,H2AR04109,,Gene,Jeffress,"Jeffress, Gene",,D,"23,848",43.02%,"15,266",60.67%,"95,013",36.69%,,,,,,,
229,AR,Arkansas,04,H2AR04133,,Q. Byrum,Hurst,"Hurst, Q. Byrum",,D,"19,812",35.74%,"9,895",39.33%,,,,,,,,,
230,AR,Arkansas,04,H2AR04125,,DC,Morrison,"Morrison, DC",,D,"11,771",21.24%,,,,,,,,,,,
